p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,8.58751948484518e-06,162.35060325719667,1.6892223211557864
2,2,1.55,uniform,8.787954011821328e-06,160.67373474601598,1.6892223211557864
2,2,1.55,uniform,8.993066723187614e-06,159.01418608426852,1.6892223211557864
2,2,1.55,uniform,9.202966808760409e-06,157.37177838065608,1.6892223211557864
2,2,1.55,uniform,9.417766006869519e-06,155.74633459159313,1.6892223211557864
2,2,1.55,uniform,9.637578663841089e-06,154.13767950212164,1.6892223211557864
2,2,1.55,uniform,9.862521794868784e-06,152.54563970702395,1.6892223211557864
2,2,1.55,uniform,1.0092715146305697e-05,150.97004359213076,1.6892223211557864
2,2,1.55,uniform,1.0328281259410275e-05,149.4107213158213,1.6892223211557864
2,2,1.55,uniform,1.0569345535579871e-05,147.86750479071614,1.6892223211557864
2,2,1.55,uniform,1.0816036303107094e-05,146.3402276655575,1.6892223211557864
2,2,1.55,uniform,1.106848488549412e-05,144.82872530727778,1.6892223211557864
2,2,1.55,uniform,1.1326825671361538e-05,143.3328347832526,1.6892223211557864
2,2,1.55,uniform,1.1591196185988858e-05,141.85239484373759,1.6892223211557864
2,2,1.55,uniform,1.1861737164524791e-05,140.3872459044866,1.6892223211557864
2,2,1.55,uniform,1.2138592626906288e-05,138.9372300295491,1.6892223211557864
2,2,1.55,uniform,1.2421909954526187e-05,137.50219091424543,1.6892223211557864
2,2,1.55,uniform,1.2711839968690301e-05,136.0819738683181,1.6892223211557864
2,2,1.55,uniform,1.3008537010905705e-05,134.67642579925686,1.6892223211557864
2,2,1.55,uniform,1.3312159025043077e-05,133.2853951957957,1.6892223211557864
2,2,1.55,uniform,1.3622867641416468e-05,131.90873211158137,1.6892223211557864
2,2,1.55,uniform,1.3940828262825757e-05,130.54628814900954,1.6892223211557864
2,2,1.55,uniform,1.4266210152607354e-05,129.1979164432278,1.6892223211557864
2,2,1.55,uniform,1.4599186524739771e-05,127.86347164630523,1.6892223211557864
