# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
308,1.406838e-01,1.472303e-01,1.031678e-02
309,1.416661e-01,1.472161e-01,1.029506e-02
310,1.407513e-01,1.472043e-01,1.028969e-02
311,1.417006e-01,1.471678e-01,1.027661e-02
312,1.412299e-01,1.471501e-01,1.028331e-02
313,1.403188e-01,1.471281e-01,1.028592e-02
314,1.406936e-01,1.471615e-01,1.028401e-02
315,1.403137e-01,1.471194e-01,1.026783e-02
316,1.403188e-01,1.470923e-01,1.027968e-02
317,1.410353e-01,1.470772e-01,1.026611e-02
318,6.614956e-02,6.702173e-02,3.415675e-03
319,5.888317e-02,6.211130e-02,2.995360e-03
320,5.626006e-02,5.998456e-02,2.805713e-03
321,5.358016e-02,5.888977e-02,2.684126e-03
322,5.379964e-02,5.810125e-02,2.624829e-03
323,5.277720e-02,5.768202e-02,2.534047e-03
324,5.268475e-02,5.716887e-02,2.507463e-03
325,5.144082e-02,5.682288e-02,2.489483e-03
326,5.062245e-02,5.651011e-02,2.483937e-03
327,5.086658e-02,5.622357e-02,2.473600e-03
328,5.059100e-02,5.602268e-02,2.458542e-03
329,5.024071e-02,5.578758e-02,2.452032e-03
330,4.975121e-02,5.561164e-02,2.437761e-03
331,4.983181e-02,5.539458e-02,2.428621e-03
332,4.988513e-02,5.524090e-02,2.416456e-03
333,4.966988e-02,5.508527e-02,2.410171e-03
334,5.001679e-02,5.490028e-02,2.399653e-03
335,4.932157e-02,5.475905e-02,2.393538e-03
336,4.911997e-02,5.467323e-02,2.389177e-03
337,4.947832e-02,5.452885e-02,2.386435e-03
338,4.879887e-02,5.439602e-02,2.379463e-03
339,4.863147e-02,5.427899e-02,2.378640e-03
340,4.840587e-02,5.417264e-02,2.366687e-03
341,4.825803e-02,5.406519e-02,2.368154e-03
